expiry,tenor,term_tenor,implied_vol_ann_current,implied_vol_ann_1d_chg,implied_vol_ann_1w_chg,implied_vol_ann_1m_chg,implied_vol_ann_20d_high,implied_vol_ann_20d_low,implied_vol_daily_current,implied_vol_daily_1d_chg,implied_vol_daily_1w_chg,implied_vol_daily_1m_chg,implied_vol_daily_20d_high,implied_vol_daily_20d_low,realized_vol_10d,realized_vol_20d,realized_vol_60d,realized_vol_90d,realized_vol_120d,realized_vol_180d,is_largest_1d_mover,is_largest_1w_mover,is_largest_1m_mover
10Y,2,10Y × 2Y,92.54838086103936,0.0,-0.4762352359916946,0.6349803146554791,93.02461609703106,90.32594975974513,5.829999999999998,0.0,-0.0300000000000043,0.03999999999999857,5.860000000000003,5.69,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
10Y,5,10Y × 5Y,89.3734792877619,-0.158745078663884,-1.2699606293110008,0.7937253933193915,90.6434399170729,86.83355802913987,5.630000000000002,-0.010000000000000538,-0.07999999999999984,0.0500000000000009,5.710000000000001,5.47,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
10Y,10,10Y × 10Y,86.35732279314821,-0.1587450786638982,-1.1112155506471026,1.90494094396648,87.46853834379532,82.86493106254298,5.439999999999999,-0.010000000000001433,-0.0699999999999984,0.1199999999999984,5.509999999999996,5.22,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
10Y,30,10Y × 30Y,80.16626472525712,-0.47623523599160933,-0.7937253933193347,2.381176179958146,80.95999011857646,76.35638283732408,5.050000000000002,-0.02999999999999893,-0.04999999999999732,0.1500000000000009,5.099999999999999,4.81,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
15Y,2,15Y × 2Y,90.8377861544462,0.02836022599613841,-0.36257402056182286,0.8293265520288173,91.20036017500803,88.54800487870972,5.722242662198356,0.0017865263121755067,-0.02284001643474768,0.05224266219835523,5.7450826786331035,5.577999999999999,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
15Y,5,15Y × 5Y,87.5815717602103,-0.15855898594098505,-1.2403539370197052,0.9067588097342991,88.82192569723,85.05561314810447,5.517120435944617,-0.009988277260343646,-0.07813495369176218,0.05712043594461642,5.595255389636379,5.3580000000000005,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
15Y,10,15Y × 10Y,84.62518902711997,-0.18670750921057788,-1.0257058040899238,2.1094971376375042,85.6508948312099,81.02348815004203,5.330885828990273,-0.011761467554273585,-0.06461339228422562,0.1328858289902721,5.395499221274498,5.104,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
15Y,30,15Y × 30Y,78.72359127647564,-0.5043057602684513,-0.6512377332001762,2.716447612212079,79.37482900967582,74.57843795628867,4.9591201150344855,-0.03176827681923048,-0.04102412110545472,0.17112011503448532,5.00014423613994,4.697999999999999,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
1M,2,1M × 2Y,102.07308558087188,0.0,1.5874507866387688,-1.1112155506471595,108.10539857009917,90.32594975974513,6.429999999999998,0.0,0.10000000000000091,-0.07000000000000198,6.81,5.69,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
1M,5,1M × 5Y,104.93049699682172,0.0,1.7461958653026954,-0.6349803146554649,105.88296746880492,92.86587101836713,6.610000000000003,0.0,0.11000000000000414,-0.039999999999997676,6.67,5.85,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
1M,10,1M × 10Y,101.43810526621638,0.0,2.222431101294262,7.302273618538251,101.43810526621638,83.81740153452624,6.389999999999999,0.0,0.14000000000000037,0.4599999999999988,6.389999999999999,5.28,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
1M,30,1M × 30Y,94.92955704099757,0.0,0.7937253933193915,8.0959990118577,95.24704719832526,76.83261807331571,5.980000000000003,0.0,0.0500000000000009,0.5100000000000032,6.0,4.84,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
1Y,2,1Y × 2Y,112.23277061535998,0.0,-0.3174901573276969,-2.5399212586219733,114.77269187398196,108.26414364876305,7.070000000000003,0.0,-0.0199999999999966,-0.15999999999999787,7.23,6.82,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
1Y,5,1Y × 5Y,108.26414364876308,0.0,-0.6349803146554365,2.842170943040401e-14,109.0578690420824,103.81928144617454,6.820000000000002,0.0,-0.039999999999995886,1.790399404480672e-15,6.869999999999998,6.54,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
1Y,10,1Y × 10Y,105.08924207548554,0.0,0.317490157327768,4.127372045260756,105.08924207548554,96.9932430636279,6.62,0.0,0.020000000000001076,0.2599999999999997,6.62,6.11,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
1Y,30,1Y × 30Y,96.1995176703085,0.0,0.4762352359915809,4.444862202588482,96.1995176703085,87.78602850112313,6.059999999999999,0.0,0.02999999999999714,0.2799999999999981,6.059999999999999,5.53,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
20Y,2,20Y × 2Y,89.15880879461808,0.055663383176593584,-0.2530699641769161,1.0552901361671871,89.411878758795,86.77005999767431,5.616477030031379,0.0035064635480419794,-0.015941909274098682,0.06647703003137775,5.632418939305478,5.465999999999999,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
20Y,5,20Y × 5Y,85.8255913624167,-0.15831664197958162,-1.2114241323832857,1.0557193559072147,87.03701549479999,83.27766826706907,5.406504068333518,-0.009973011025733844,-0.07631254729781815,0.06650406833351853,5.482816615631337,5.246000000000001,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
20Y,10,20Y × 10Y,82.92779797064287,-0.21349556048416218,-0.943224962797629,2.3487960408596678,83.8710229334405,79.18204523754108,5.223960242964949,-0.013448956168034326,-0.0594175876654923,0.14796024296494728,5.2833778306304415,4.988,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
20Y,30,20Y × 30Y,77.3068802033512,-0.5312283855597144,-0.5138244569084236,3.0776814201230422,77.83810858891091,72.80049307525326,4.869875706007849,-0.03346424279927,-0.03236789834577412,0.19387570600784929,4.903339948807119,4.5859999999999985,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
25Y,2,25Y × 2Y,87.51086439028296,0.0819390222488039,-0.14760590343649937,1.3122866757985605,87.65847029371946,84.9921151166389,5.512666290309208,0.005161673227193418,-0.009298297917571228,0.08266629030920558,5.521964588226779,5.353999999999999,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
25Y,5,25Y × 5Y,84.10481776778346,-0.1580203752151732,-1.1831559704204722,1.2398867052404796,85.28797373820393,81.49972338603368,5.298105520856227,-0.009954347973820547,-0.07453182047461576,0.07810552085622749,5.372637341330843,5.134000000000002,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
25Y,10,25Y × 10Y,81.26445276306407,-0.23914487276941543,-0.8636849728477358,2.622140792980133,82.1281377359118,77.34060232504012,5.119179343829125,-0.0150647109681918,-0.05440703926806386,0.1651793438291222,5.173586383097189,4.872000000000001,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
25Y,30,25Y × 30Y,75.91566428653466,-0.5570350442221184,-0.3813450976507937,3.4644103843419174,76.47269933075678,71.02254819421785,4.782237340867581,-0.03508990948951409,-0.024022483144705755,0.21823734086758118,4.817327250357095,4.473999999999998,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
2Y,2,2Y × 2Y,109.85159443540176,0.0,-1.269960629311015,-0.4762352359916662,111.12155506471278,106.83543794078818,6.919999999999997,0.0,-0.08000000000000072,-0.03000000000000251,6.999999999999998,6.73,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
2Y,5,2Y × 5Y,105.40673223281327,0.0,-1.4287057079749133,0.31749015732772534,106.83543794078818,101.27936018755253,6.639999999999999,0.0,-0.09000000000000216,0.01999999999999839,6.73,6.38,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
2Y,10,2Y × 10Y,101.12061510888864,-0.158745078663884,-1.904940943966551,1.4287057079748564,103.0255560528552,96.19951767030851,6.369999999999999,-0.010000000000000538,-0.12000000000000288,0.08999999999999858,6.490000000000002,6.06,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
2Y,30,2Y × 30Y,91.43716531039227,-0.31749015732775376,-2.381176179958146,0.6349803146555217,93.81834149035042,87.78602850112313,5.760000000000002,-0.02000000000000018,-0.1500000000000009,0.04000000000000126,5.910000000000002,5.53,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
30Y,2,30Y × 2Y,85.89337935161788,0.10721595959283547,-0.046067631303941425,1.5997425810999744,85.93944698292182,83.21417023560349,5.410774310269315,0.0067539706109474434,-0.0029019879980962666,0.10077431026931212,5.413676298267411,5.241999999999999,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
30Y,5,30Y × 5Y,82.41854509201349,-0.15767244336717567,-1.1555345454385844,1.4585549734370176,83.57407963745207,79.72177850499828,5.191880326981685,-0.009932430327558629,-0.07279183425177524,0.09188032698168495,5.2646721612334595,5.022000000000002,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
30Y,10,30Y × 10Y,79.63447052118894,-0.26369013344231007,-0.7870001138087162,2.928848510804272,80.42147063499766,75.49915941253917,5.016500113985003,-0.01661091705404259,-0.04957634721231887,0.18450011398499944,5.066076461197322,4.756000000000001,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
30Y,30,30Y × 30Y,74.54948471476416,-0.5817568961794279,-0.25366267877505777,3.8761756936068252,75.13124161094359,69.24460331318244,4.69617611722088,-0.036647239780656864,-0.0159792467842206,0.2441761172208799,4.732823357001537,4.361999999999998,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
3M,2,3M × 2Y,104.29551668216621,0.0,-0.7937253933193347,-3.65113680926909,111.91528045803219,99.85065447957766,6.570000000000003,0.0,-0.04999999999999732,-0.22999999999999715,7.05,6.29,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
3M,5,3M × 5Y,106.83543794078818,0.0,-0.6349803146554933,-0.47623523599160933,108.10539857009917,101.4381052662164,6.73,0.0,-0.03999999999999947,-0.02999999999999893,6.81,6.39,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
3M,10,3M × 10Y,103.0255560528552,0.0,-0.47623523599160933,5.079842517244046,104.13677160350225,92.86587101836713,6.490000000000002,0.0,-0.02999999999999893,0.320000000000002,6.559999999999998,5.85,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
3M,30,3M × 30Y,95.56453735565299,0.0,-0.9524704719833039,5.556077753235613,96.99324306362793,85.24610724250111,6.019999999999998,0.0,-0.06000000000000323,0.34999999999999826,6.110000000000002,5.37,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
3Y,2,3Y × 2Y,106.6766928621243,0.0,-0.7937253933193773,0.15874507866386978,107.47041825544368,103.97802652483841,6.72,0.0,-0.05,0.009999999999999643,6.7700000000000005,6.55,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
3Y,5,3Y × 5Y,103.34304621018288,0.0,-1.1112155506471737,0.9524704719832187,104.45426176083005,99.37441924358602,6.509999999999998,0.0,-0.07000000000000288,0.05999999999999786,6.580000000000001,6.26,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
3Y,10,3Y × 10Y,99.374419243586,-0.15874507866392662,-2.063686022630378,1.5874507866387262,101.43810526621638,95.08830211966139,6.259999999999999,-0.010000000000003223,-0.12999999999999984,0.09999999999999822,6.389999999999999,5.99,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
3Y,30,3Y × 30Y,90.48469483840903,-0.31749015732771113,-2.0636860226303355,1.2699606293110293,92.54838086103936,86.99230310780375,5.700000000000002,-0.019999999999997495,-0.12999999999999715,0.08000000000000163,5.829999999999998,5.48,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
4Y,2,4Y × 2Y,104.10579234605537,-0.0813009045004236,-0.9564691944235904,0.12776582121695412,105.06226154047896,101.59685034488028,6.5580484902141425,-0.005121475587446019,-0.0602518958366454,0.008048490214142867,6.618300386050788,6.3999999999999995,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
4Y,5,4Y × 5Y,101.0961898391823,-0.08110405623673955,-1.2735869506495874,0.8486726629449635,102.36977678983189,97.54885083895147,6.368461352634555,-0.005109075312404999,-0.08022843677228332,0.05346135263455511,6.4486897894068385,6.1450000000000005,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
4Y,10,4Y × 10Y,97.45086146361143,-0.07780509140719971,-1.8210560156031903,1.48946141129872,99.27191747921462,93.58022387235457,6.138827249564851,-0.004901260061859499,-0.11471574620962381,0.09382724956485008,6.253542995774474,5.895,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
4Y,30,4Y × 30Y,89.12514796621657,-0.3175264124042769,-1.821928952175881,1.1803743864295768,90.94707691839245,85.96046009648856,5.6143565971534075,-0.020002283855148847,-0.11477073604490173,0.07435659715340749,5.729127333198309,5.415000000000001,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
5Y,2,5Y × 2Y,101.59685034488027,-0.15874507866386978,-1.111215550647188,0.15874507866386978,102.70806589552745,99.21567416492215,6.399999999999999,-0.009999999999999643,-0.07000000000000377,0.009999999999999643,6.470000000000002,6.25,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
5Y,5,5Y × 5Y,98.8981840075944,-0.1587450786638982,-1.4287057079749133,0.7937253933193773,100.32688971556931,95.7232824343169,6.2299999999999995,-0.010000000000001433,-0.09000000000000216,0.05,6.320000000000002,6.03,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
5Y,10,5Y × 10Y,95.56453735565299,0.0,-1.587450786638783,1.4287057079748564,97.15198814229177,92.07214562504775,6.019999999999998,0.0,-0.1000000000000018,0.08999999999999858,6.12,5.8,88.87973389474091,72.65594911129507,88.3451880074282,80.2156844310483,84.19816308349792,86.15722605126727,False,False,False
5Y,30,5Y × 30Y,87.78602850112313,-0.31749015732773955,-1.5874507866387688,1.111215550647131,89.3734792877619,84.92861708517336,5.53,-0.019999999999999286,-0.10000000000000091,0.07000000000000019,5.630000000000002,5.35,73.96593527293474,64.21972120511887,85.51615776745618,76.99982066495954,80.11698063633169,80.63580582842836,False,False,False
6M,2,6M × 2Y,107.15292809811595,0.0,-0.4762352359915667,-4.921097438580105,112.5502607726877,103.81928144617454,6.750000000000002,0.0,-0.029999999999996245,-0.3099999999999979,7.09,6.54,79.40342626108786,64.92080913981616,84.06201946908173,85.1293536256394,96.84745218611152,90.64908524462412,False,False,False
6M,5,6M × 5Y,107.78790841277144,0.0,-0.6349803146554933,-0.31749015732772534,108.7403788847547,103.18430113151904,6.790000000000001,0.0,-0.03999999999999947,-0.01999999999999839,6.850000000000001,6.5,94.53726702205883,76.00614447737627,88.76314010646169,82.85696790130407,89.51257319768331,89.63643530995009,False,False,False
